,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
576,bio_source_T47D,4,0.671807501558578,0.2759943868021782,7.578010082244873
577,bio_source_T47D,5,0.6674111942446428,0.278163373505794,7.626922607421875
578,bio_source_T47D,6,0.6961095003756439,0.2566291539563913,7.626446485519409
579,bio_source_T47D,7,0.652259388506244,0.2970933980911818,7.572418451309204
580,bio_source_T47D,8,0.6794673881452209,0.2642039116208851,7.604257345199585
581,bio_source_T47D,9,0.6792169845082879,0.2747997758365896,7.750033378601074
582,bio_source_T47D,mean,0.6655720379047115,0.2899421218543916,7.621244668960571
583,bio_source_THP-1,0,0.3320270033209107,0.8690916323248068,7.575438976287842
584,bio_source_THP-1,1,0.3513689153947794,0.8701391834445557,7.631144046783447
585,bio_source_THP-1,2,0.3052424385918015,0.9535548786804156,7.621587991714477
586,bio_source_THP-1,3,0.2680807112764979,0.8679858642971648,7.809008836746216
587,bio_source_THP-1,4,0.2947945741291429,0.8848860563806643,7.662909507751465
588,bio_source_THP-1,5,0.3133136550099507,0.9242290701924908,7.717790126800537
589,bio_source_THP-1,6,0.3336234145268376,0.8650852306396729,7.695649147033691
590,bio_source_THP-1,7,0.3051940270205087,0.8280745723139502,7.678849697113037
591,bio_source_THP-1,8,0.3409610719379751,0.8502285735808852,7.604754209518433
592,bio_source_THP-1,9,0.3278038795339557,0.9017319873536104,7.590561628341675
593,bio_source_THP-1,mean,0.317240969074236,0.8815007049208218,7.658769416809082
594,bio_source_U-251,0,0.5139425520799301,0.4840223892358566,7.585490942001343
595,bio_source_U-251,1,0.5534149263905823,0.4807332318814878,7.639998912811279
596,bio_source_U-251,2,0.5343343555732986,0.4979455172933604,7.576692819595337
597,bio_source_U-251,3,0.5778914499800665,0.4389482520978674,7.571764945983887
598,bio_source_U-251,4,0.5644297703294319,0.4711540637789501,7.681177616119385
599,bio_source_U-251,5,0.5624035560979371,0.4444303276609066,7.627424478530884
600,bio_source_U-251,6,0.5867954988484771,0.4393813315858337,7.593773603439331
601,bio_source_U-251,7,0.5470760492269652,0.4370329361952773,7.590356588363647
602,bio_source_U-251,8,0.506072040337876,0.4364498510906057,7.666509389877319
603,bio_source_U-251,9,0.5727594496973939,0.4226497279406231,7.585854530334473
604,bio_source_U-251,mean,0.5519119648561958,0.4552747628760769,7.611904382705688
605,bio_source_U-343,0,0.5026153664893271,0.4728110456478815,7.593398332595825
606,bio_source_U-343,1,0.5744211217061623,0.4358730877902985,7.556917905807495
607,bio_source_U-343,2,0.5386524417254488,0.475126285517713,7.584867715835571
608,bio_source_U-343,3,0.5599444441920536,0.4489774823946171,7.566321849822998
609,bio_source_U-343,4,0.5708845136252572,0.4498910311738511,7.564432621002197
610,bio_source_U-343,5,0.5574284465999881,0.4459952687154501,7.6974241733551025
611,bio_source_U-343,6,0.5766712788125767,0.4661510105792727,7.6040198802948
612,bio_source_U-343,7,0.5350885192847794,0.4315435726830089,7.587987899780273
613,bio_source_U-343,8,0.5413140493593972,0.4062472267515357,7.580469846725464
614,bio_source_U-343,9,0.5495394986227452,0.4583176728934237,7.639479875564575
615,bio_source_U-343,mean,0.5506559680417735,0.4490933684147052,7.59753201007843
616,bio_source_U2392,0,0.0501879397738673,0.7300012287946662,7.560448408126831
617,bio_source_U2392,1,0.1060645604154473,0.6379439110372853,7.564066171646118
618,bio_source_U2392,2,0.1516072470348483,0.6766092756156892,7.587657451629639
619,bio_source_U2392,3,0.0749060501010736,0.6955529343022622,7.671720266342163
620,bio_source_U2392,4,0.1616163589622858,0.6676079305209459,7.5572099685668945
621,bio_source_U2392,5,0.1364375467880708,0.6854736473334877,7.58701229095459
622,bio_source_U2392,6,0.0519829183853174,0.6447553715083977,7.612054824829102
623,bio_source_U2392,7,0.0224497513686584,0.6723111897181064,7.666845798492432
624,bio_source_U2392,8,0.127342498792507,0.6419431994447629,7.573086500167847
625,bio_source_U2392,9,0.1343792952740806,0.6523797191608952,7.528087377548218
626,bio_source_U2392,mean,0.1016974166896157,0.6704578407436498,7.590818905830384
627,bio_source_U2OS,0,0.4800810801141263,0.3896387640923814,7.604491233825684
628,bio_source_U2OS,1,0.5333118356088654,0.3431412954753945,7.652360200881958
629,bio_source_U2OS,2,0.5012919305023712,0.383230245050582,7.656222581863403
630,bio_source_U2OS,3,0.5078849100747941,0.3789982757464519,7.632412672042847
631,bio_source_U2OS,4,0.5457009591324182,0.3712192067443777,7.68664288520813
632,bio_source_U2OS,5,0.5239306233656809,0.3785895820528168,7.594754457473755
633,bio_source_U2OS,6,0.5363544967791681,0.3650773462785242,7.601282835006714
634,bio_source_U2OS,7,0.5053315097465412,0.353192470717713,7.578655958175659
635,bio_source_U2OS,8,0.5119690638730241,0.3730643466686486,7.656415224075317
636,bio_source_U2OS,9,0.5271365550629497,0.3647165802127363,7.611181974411011
637,bio_source_U2OS,mean,0.5172992964259939,0.3700868113039627,7.627442002296448
638,bio_source_Vero 6,0,0.5478628362023488,0.1635911127361817,7.595163822174072
639,bio_source_Vero 6,1,0.5803372397206414,0.1447916989748101,7.577285528182983
640,bio_source_Vero 6,2,0.5303663817978579,0.1818598109873939,7.664662599563599
641,bio_source_Vero 6,3,0.5783786921458959,0.1593524709449549,7.593397855758667
642,bio_source_Vero 6,4,0.5723893684861645,0.1424527957926796,7.561094045639038
643,bio_source_Vero 6,5,0.5935476340951893,0.1483097216752277,7.591655015945435
644,bio_source_Vero 6,6,0.5727023330984355,0.1526393006397784,7.589771747589111
645,bio_source_Vero 6,7,0.5403166180565008,0.1553643343960562,7.6430394649505615
646,bio_source_Vero 6,8,0.5848828214017754,0.1449114880041137,7.669725656509399
647,bio_source_Vero 6,9,0.5927937481601226,0.1502746675837347,7.764883995056152
648,bio_source_Vero 6,mean,0.5693577673164932,0.1543547401734931,7.625067973136902
649,bio_source_WI38,0,0.5131840614612835,0.3209562849825509,7.670640468597412
650,bio_source_WI38,1,0.5585635816003969,0.2909138351083536,7.583307981491089
651,bio_source_WI38,2,0.5172592342593195,0.3703111235183292,7.61064863204956
652,bio_source_WI38,3,0.5506940091788304,0.3121791929725597,7.691667079925537
653,bio_source_WI38,4,0.5649053990323933,0.3092110701371512,7.630053520202637
654,bio_source_WI38,5,0.5491318756939509,0.3007692736846117,7.612853527069092
655,bio_source_WI38,6,0.5553390194281709,0.3103834528740865,7.622533321380615
656,bio_source_WI38,7,0.5460924039268948,0.2963916121135379,7.779515027999878
657,bio_source_WI38,8,0.557506185273002,0.2955423618411068,7.620283842086792
658,bio_source_WI38,9,0.5135413563594504,0.3214710188022595,7.618146896362305
659,bio_source_WI38,mean,0.5426217126213693,0.3128129226034547,7.643965029716492
660,bio_source_WM902B,0,0.3975218058186458,0.4436270008482806,7.67181134223938
661,bio_source_WM902B,1,0.4536019721668953,0.4015184855861493,7.698119640350342
662,bio_source_WM902B,2,0.4081834007106117,0.4404673209342075,7.601010322570801
663,bio_source_WM902B,3,0.45382400810539,0.3908827336239832,7.599374294281006
664,bio_source_WM902B,4,0.47626154168498,0.352751016848477,7.667639970779419
665,bio_source_WM902B,5,0.4325901268899821,0.3894450409420817,7.601464748382568
666,bio_source_WM902B,6,0.4658115659247559,0.3912422306324656,7.59301495552063
667,bio_source_WM902B,7,0.4474082003846082,0.3883570918538984,7.63982081413269
668,bio_source_WM902B,8,0.4232689025595282,0.4276987435181191,7.77344012260437
669,bio_source_WM902B,9,0.4690655560293789,0.3732910711283754,7.672672748565674
670,bio_source_WM902B,mean,0.4427537080274776,0.3999280735916037,7.651836895942688
671,bio_source_WTC-11,0,0.4657377470039133,0.2705435091024336,7.6426520347595215
672,bio_source_WTC-11,1,0.5061810532977762,0.2349233635909707,7.590737581253052
673,bio_source_WTC-11,2,0.4570756822396524,0.2835377101394254,7.593738555908203
674,bio_source_WTC-11,3,0.4781929970904622,0.2510402191960592,7.678776025772095
675,bio_source_WTC-11,4,0.4990684540853395,0.2358311179530269,7.629770994186401
676,bio_source_WTC-11,5,0.4898919227009004,0.2463020206882179,7.683861017227173
677,bio_source_WTC-11,6,0.4907792149694804,0.251343364679839,7.594374418258667
678,bio_source_WTC-11,7,0.4782558828693142,0.2395721523427906,7.563526153564453
679,bio_source_WTC-11,8,0.4959981727358437,0.2357528472040126,7.570387840270996
680,bio_source_WTC-11,9,0.5065943989512426,0.2234870279914886,7.662752389907837
681,bio_source_WTC-11,mean,0.4867775525943925,0.2472333332888265,7.62105770111084
682,bio_source_ZR75-1,0,0.4967649003436497,0.2981643872204536,7.595329761505127
683,bio_source_ZR75-1,1,0.586593708202361,0.2409804984852251,7.584603071212768
